#,hospital_id,name,address,contact_url,contact_number,apogee,apogee_elite
8,1776089861693,연세노블병원,"서울특별시 은평구 서오릉로 37, (녹번동)",http://www.ysnoble.co.kr/,02-384-0009,X,X
20,1776089861722,365다움의원,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 (행당동)",http://www.dawoomclinic.co.kr/,02-2297-1755,X,X
28,1776089861742,CL성형외과의원,"서울특별시 노원구 동일로 1392, 5층 (상계동, 노원한일빌딩)",http://www.clclinic.co.kr/,02-933-6522,X,X
30,1776089861748,가미의원,"서울특별시 송파구 오금로 176, 지인빌딩 3층 (송파동)",http://kamiskin.co.kr/,02-416-6700,X,X
60,1776089861890,그랑메디의원,"서울특별시 중구 명동7길 21, 명동아르누보센텀 406호 (을지로2가)",http://www.mylamar.co.kr/,02-775-0885,X,X
61,1776089861893,그랜드피부과의원,"서울특별시 송파구 오금로 506, (거여동, 일동빌딩 5층)","https://blog.naver.com/iouderm
",02-408-0345,X,X
62,1776089861901,글로리의원,"서울특별시 중구 퇴계로 234, 민국저축은행 1층 (충무로5가)",https://gloryclinic-md.co.kr/,02-2038-6706,X,X
67,1776089861915,김동건피부과의원,"서울특별시 송파구 마천로 41, (방이동, 5층)",http://www.dkkskin.com/,02-414-7557,X,X
68,1776089861916,김동준피부과의원,"서울특별시 성동구 행당로 87, 405호 (행당동, 대림리빙프라자)",http://hana-skin.com/,02-2281-6589,X,X
72,1776089861930,김윤섭피부과의원,"서울특별시 동작구 동작대로 129, (사당동)",https://www.kimskinclinic.co.kr/,02-591-7789,X,X
79,1776089861947,김헌곤성형외과의원,"서울특별시 동작구 보라매로5가길 24, 2층 201,210,212호 (신대방동, 보라매나산스위트)",http://www.seoulps.com,02-842-3333,X,X
81,1776089861951,꼬모의원,"서울특별시 용산구 이태원로 237, 4층 (한남동)",https://www.como.clinic/,,X,X
84,1776089861958,나라온의원,"서울특별시 마포구 백범로 90, 2층 (대흥동)",https://nalaon.imweb.me/,02-711-1907,X,X
85,1776089861960,나만의즐거운플랜라라플랜의원,"서울특별시 송파구 올림픽로 100, 효창타워 5층 1호 (잠실동)",https://www.lalaplanclinic.com/,02-415-3268,X,X
87,1776089861962,나미피부과의원,"서울특별시 중랑구 사가정로 384, 3,4층 (면목동)",http://namiskin.co.kr/,02-439-3300,X,X
89,1776089861971,나의미래피부과의원,"서울특별시 마포구 월드컵북로 381, 2층 208~210호 (상암동, 상암월드컵파크4단지상가)",https://www.my-mirae.com/,02-375-0500,X,X
92,1776089861974,나인의원,"서울특별시 마포구 양화로 165, 3층 (동교동)",https://www.9skin2.co.kr/,02-325-9990,X,X
93,1776089861976,나인피부과의원,"서울특별시 은평구 통일로 855-8, 연신내진원와이타운 9,10층 901,902,1002호 (갈현동)",https://www.9skin.co.kr/,02-353-9990,X,X
97,1776089861990,노바피부과의원,"서울특별시 송파구 오금로 507, 5층 (거여동)",http://www.novanova.co.kr/,02-449-2430,X,X
99,1776089861997,노블클래식의원,"서울특별시 강북구 월계로 43-1, 2층 (미아동)",http://www.nobleclassic.com/,02-988-0057,X,X
100,1776089862000,노원 닥터에버스의원,"서울특별시 노원구 노해로 492, 프린스빌딩 9층 901,902,903호 (상계동)",https://www.evers4.co.kr/,02-932-2010,X,X
101,1776089862001,노원 아이디의원,"서울특별시 노원구 노해로 455, MG노원빌딩 7층 (상계동)",https://nw.idclinic.co.kr/,1855-0050,X,X
102,1776089862002,노원 톡스앤필의원,"서울특별시 노원구 노해로 488, 근호빌딩 3층 (상계동)",https://www.toxnfill15.com/,02-933-7585,X,X
108,1776089862014,뉴리즈의원,"서울특별시 송파구 올림픽로35길 137, 한국광고문화회관 12층 2호 (신천동)",https://www.newrizz.co.kr/jamsil,02-6951-0655,X,X
109,1776089862016,뉴센스의원,"서울특별시 마포구 신촌로 170, 상가306,307호 (대흥동, 이대역푸르지오시티)",https://newsense.co.kr/,3272-8885,X,X
111,1776089862021,뉴엘라인의원,"서울특별시 성동구 상원길 26, 5층 (성수동1가)",https://newlssclinic.co.kr/,02-2135-4005,X,X
113,1776089862027,뉴페이스의원,"서울특별시 중구 장충단로13길 7, 6층 (을지로6가)",https://www.newfaceclinic.kr/,02-2263-7522,X,X
122,1776089862044,다미의원,"서울특별시 마포구 마포대로 173-14, 마포 센텀 슬로우스퀘어 2층 205~207호 (아현동)",http://www.damiskinmapo.com/main/index.php,02-364-3323,X,X
124,1776089862046,다시봄날의원,"서울특별시 노원구 동일로215길 2, 하나빌딩 3층 (상계동)",https://nw.springdayclinic.com/,02-2039-0079,O,X
127,1776089862050,다오의원,"서울특별시 중구 퇴계로 123, 하이헤리엇 9층 9011,9012호 (충무로2가)",https://clinicdao.com/,02-757-7582,X,X
128,1776089862051,다온의원,"서울특별시 송파구 송파대로 467, 대성빌딩 5층 (석촌동)",http://daongood.co.kr/,424-2048,X,X
129,1776089862059,다태나의원,"서울특별시 송파구 올림픽로 108, 맥스빌딩 3,9층 (잠실동)",https://datena.kr/,02-6952-6980,X,X
131,1776089862063,닥터나인의원,"서울특별시 은평구 은평로 123, 2층 202호 (응암동, 응암아네스트)",http://www.dr9.co.kr/,02-358-9809,X,X
132,1776089862067,닥터디자이너의원명동점,"서울특별시 중구 명동3길 44, 6층 (을지로2가)",https://md.drdclinic.co.kr/,02-3789-8810,X,X
133,1776089862068,닥터로피부과의원,"서울특별시 노원구 노해로 482, 덕영빌딩 7층 (상계동)",http://rhoskin.com,02-937-0043,X,X
134,1776089862078,닥터봉의원,"서울특별시 동작구 사당로 300, 212호 (사당동, 이수자이)",https://doctorbong.co.kr/,02-533-6001,X,X
135,1776089862080,닥터쁘띠의원,"서울특별시 노원구 동일로 1396, 중원빌딩 3층 (상계동)",https://nowon.doctorpetit.com/,02-3392-4285,X,X
136,1776089862081,닥터쁘띠의원명동점,"서울특별시 중구 퇴계로 145, 세종호텔 3층 (충무로2가)",https://myeongdong.doctorpetit.com/,02-6953-8433,O,X
137,1776089862082,닥터선의원,"서울특별시 용산구 독서당로 122, 2층 (한남동)",https://www.drsunclinic.com,02-6273-7500,X,X
138,1776089862091,닥터스피부과의원,"서울특별시 송파구 백제고분로 364, 대신빌딩 5층 (석촌동)",https://jamsil.doctors365.co.kr/,02-420-7702,X,X
139,1776089862092,닥터스피부과의원,"서울특별시 마포구 마포대로 127, 2층 201호 (공덕동, 풍림브이아이피텔)",https://gongdeok.doctors365.co.kr/,02-702-3033,X,X
140,1776089862093,닥터스피부과의원,"서울특별시 강북구 도봉로 52, 연이빌딩 4층 (미아동)",https://mia.doctors365.co.kr/,02-6437-0082,X,X
141,1776089862095,닥터스피부과의원 은평점,"서울특별시 은평구 통일로 750, 4층 (불광동)",https://eunpyeong.doctors365.co.kr/,02-356-7572,X,X
143,1776089862102,닥터에버스의원 목동,"서울특별시 양천구 목동로 203, 2층 1호 (신정동)",https://mokdong.doctors365.co.kr/,02-6956-2015,X,X
