ykiho,yadmNm,addr,telno,XPos,YPos,clCd,clCdNm,hospUrl,_source_label,coord_ok
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,"서울특별시 종로구 새문안로 29, (평동)",02-2001-2001,126.96775,37.5684083,01,상급종합,http://www.kbsmc.co.kr,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,"서울특별시 광진구 능동로 120-1, (화양동)",1588-1533,127.0718276,37.5403764,01,상급종합,http://www.kuh.ac.kr,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,"서울특별시 동대문구 경희대로 23, (회기동)",02-958-8114,127.051852,37.5941195,01,상급종합,http://www.khuh.or.kr/,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,126.8848701,37.492052,01,상급종합,http://guro.kumc.or.kr/main/index.do,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",02-3410-2114,127.0851508,37.4882977,01,상급종합,http://www.samsunghospital.com,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,"서울특별시 종로구 대학로 101, (연건동)",1588-5700,126.9990168,37.5797151,01,상급종합,http://www.snuh.org,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,연세대학교의과대학 강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,127.0462683,37.4929296,01,상급종합,http://gs.iseverance.com,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,연세대학교의과대학세브란스병원,"서울특별시 서대문구 연세로 50-1, (신촌동)",02-2228-0114,126.9408265,37.5623446,01,상급종합,http://www.yuhs.or.kr,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz,이화여자대학교의과대학부속목동병원,"서울특별시 양천구 안양천로 1071, (목동)",02-2650-5114,126.8862043,37.536602,01,상급종합,http://www.eumc.ac.kr/mokdong/,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,재단법인아산사회복지재단 서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",02-3010-3114,127.107935,37.5265762,01,상급종합,http://www.amc.seoul.kr,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,중앙대학교병원,"서울특별시 동작구 흑석로 102, (흑석동)",1800-1114,126.9607839,37.5067481,01,상급종합,http://ch.cauhs.or.kr/,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",1577-0083,127.0263537,37.5870165,01,상급종합,http://anam.kumc.or.kr/main/index.do,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,학교법인가톨릭학원가톨릭대학교서울성모병원,"서울특별시 서초구 반포대로 222, (반포동)",02-1588-1511,127.0051154,37.5009444,01,상급종합,http://www.cmcseoul.or.kr/,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,한양대학교병원,"서울특별시 성동구 왕십리로 222-1, (사근동)",02-2290-8114,127.0441339,37.5596569,01,상급종합,http://seoul.hyumc.com,서울_피부과,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,가톨릭대학교 여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",1661-7575,126.9367517,37.5183253,11,종합병원,http://www.cmcujb.or.kr/,서울_피부과,1
